,agg_mean,agg_volatility,pol_mean,post_count,agg_lag_2,agg_3m_avg,agg_trend,Actual_Toxic,Predicted_Toxic,Risk_Score,author_name,created_time
2900,0.811028016192399,0.35411598837485064,0.745344206680825,7,0.9782045800893328,0.8415308767517806,-0.1671765638969338,0,1,0.8544860692765335,Beforemath,2025-07-31
3908,0.7338429056151563,0.3396787300611952,0.8666872953962586,17,0.8207344423723378,0.8111590831292051,-0.08689153675718153,1,1,0.8747266162356627,CAM6913,2025-05-31
3909,0.795406971995482,0.2905147001940476,0.8874527136911794,59,0.7338429056151563,0.7833281066609921,0.061564066380325744,1,1,0.8513363432493803,CAM6913,2025-06-30
3910,0.8434124554949469,0.2529261466017973,0.8686754421055944,73,0.795406971995482,0.7908874443685284,0.048005483499464874,1,1,0.8996451460009919,CAM6913,2025-07-31
3911,0.7160345146117763,0.3392592546935883,0.8020520371580897,49,0.8434124554949469,0.7849513140340685,-0.12737794088317067,1,1,0.8888002882752718,CAM6913,2025-08-31
4148,0.7396982773951805,0.31516964062294034,0.7810162462883196,16,0.7067227418823605,0.8019114036040973,0.03297553551281995,0,1,0.8658628597026969,Caraes_Naur,2025-05-31
4815,0.8069152014430344,0.33827213464087835,0.7720107725371589,14,0.738181268978137,0.7546372826526339,0.06873393246489745,0,1,0.8547048387409513,Colonel-Mooseknuckle,2025-05-31
4922,0.7266481363610084,0.3857577060800636,0.8536459972738399,8,0.9742840576272171,0.9001938896601414,-0.2476359212662087,0,1,0.8527513928197835,ConfederacyOfDunces_,2025-06-30
5378,0.7624819048860003,0.3505127307702132,0.6753105443597619,23,0.7421404129009996,0.8013510678561175,0.02034149198500068,1,1,0.8796859107375657,CurrentlyLucid,2025-05-31
5380,0.8066426111045304,0.3189985715588827,0.7297449874931161,31,0.7430971131882786,0.7707405430596032,0.06354549791625175,1,1,0.8792078634801582,CurrentlyLucid,2025-07-31
5381,0.8356244163293134,0.3182396625292795,0.7598448919163742,27,0.8066426111045304,0.7951213802073741,0.028981805224782997,1,1,0.9086833362975868,CurrentlyLucid,2025-08-31
6096,0.7417218720820037,0.32236762407487807,0.5211632548056004,10,0.8027107826352952,0.7718682407783568,-0.060988910553291475,1,1,0.8504743414806205,DeuceGnarly,2025-08-31
6320,0.8160492152669372,0.32479285160194643,0.7456984826147453,10,0.8724148684400873,0.8915620752780916,-0.05636565317315012,1,1,0.8749597138856224,DoomOne,2025-07-31
7024,0.7595421478263376,0.2564722539735965,0.7308164936304317,12,0.7066539754993824,0.795697037161878,0.052888172326955196,1,1,0.8765446307352522,Ello_Owu,2025-06-30
7872,0.8052737488704361,0.3139558942527632,0.6309775349374501,12,0.9963189439345665,0.804374551767359,-0.19104519506413042,1,1,0.8769152765474847,Fit-Significance-436,2025-07-31
7873,0.8580873262508544,0.16115847260015925,0.8608430084089457,7,0.8052737488704361,0.8865600063519524,0.05281357738041825,1,1,0.8784907428628405,Fit-Significance-436,2025-08-31
8355,0.7825530044806598,0.33346991909178203,0.5841818742524948,10,0.9770876736444153,0.8788152007641549,-0.1945346691637555,1,1,0.8636645444375657,G-Unit11111,2025-05-31
8358,0.9368344041513585,0.09547645197900832,0.8686066612356997,10,0.7636678586112555,0.7844339202871513,0.17316654554010302,1,1,0.8820330142519753,G-Unit11111,2025-08-31
8662,0.905251878105683,0.18887535568350394,0.7884960409765722,16,0.770532234518701,0.7819264816586244,0.13471964358698196,1,1,0.8697051599016378,Glad-Attempt5138,2025-08-31
10216,0.8216059841559266,0.2377872883068862,0.7854032099705961,12,0.6226653299882691,0.7675544155220125,0.1989406541676575,0,1,0.8619658397870538,IdkAbtAllThat,2025-07-31
10949,0.839859379573437,0.1936094937656151,0.6801759895135913,11,0.64152246589125,0.7581614094488686,0.1983369136821871,0,1,0.8513777402565538,J-the-Kidder,2025-05-31
11280,0.8993722441520656,0.18818964421990017,0.830813247608288,14,0.8049348479744214,0.7693651064374173,0.09443739617764424,1,1,0.8946858397072195,Jerk182,2025-08-31
12088,0.7258475702523332,0.30187819085318324,0.756046935873892,8,0.9897862422557302,0.7885346396957392,-0.26393867200339705,1,1,0.8519265781245515,KinkyPaddling,2025-06-30
15367,0.8998750029162753,0.21987336019089956,0.8706649921435408,21,0.7788071646262895,0.7930322356398056,0.1210678382899858,1,1,0.8684900227185528,NorthenFreeman,2025-08-31
15734,0.9433941748466658,0.10010796970882203,0.8943071779945192,13,0.76794506421018,0.7701123116101152,0.17544911063648572,1,1,0.8882295502211386,Ohnoherewego13,2025-07-31
16931,0.8464428765939347,0.2632773975415271,0.8046102993128915,8,0.6964656581773414,0.7876356845400957,0.14997721841659328,1,1,0.8688788269063314,Pinot_Greasio,2025-07-31
16932,0.755362333466588,0.35720290669874394,0.5831581336791293,11,0.8464428765939347,0.7660902894126213,-0.0910805431273467,1,1,0.8545992603981475,Pinot_Greasio,2025-08-31
17159,0.7211978542209496,0.34389288886835334,0.6103234824283186,29,0.9821345815894926,0.778838545455513,-0.260936727368543,1,1,0.8713844481382159,PopPalsUnited,2025-05-31
17741,0.8080518110678647,0.3310021945506606,0.8549306127717353,8,0.7037423542118985,0.7564462118826687,0.10430945685596626,1,1,0.8518355415176315,R_Lennox,2025-06-30
17742,0.8350457896242859,0.2782179958000315,0.8161467151119381,11,0.8080518110678647,0.7822799849680164,0.02699397855642116,1,1,0.8831750328774132,R_Lennox,2025-07-31
17743,0.8203101566419005,0.3261041762143483,0.7708438966200487,9,0.8350457896242859,0.8211359191113504,-0.014735632982385338,1,1,0.883289069107999,R_Lennox,2025-08-31
18258,0.7001452013159641,0.3940986335907308,0.6252680812822,15,0.8320473370442041,0.7720255220356737,-0.13190213572823994,1,1,0.863405146975872,ResidentKelpien,2025-06-30
21064,0.9289250613691675,0.19573884067202568,0.7398936939026903,9,0.838122870606882,0.8734283457357414,0.09080219076228557,1,1,0.8912783036794645,Stinkstinkerton,2025-05-31
21065,0.7652732149479538,0.3876946128754073,0.7710282273601613,9,0.9289250613691675,0.8441070489746677,-0.16365184642121378,1,1,0.8711025657431315,Stinkstinkerton,2025-06-30
22872,0.889115650525012,0.16324891866357963,0.8572873783874452,7,0.8072854867295983,0.8726316151728768,0.08183016379541364,1,1,0.8698744753915952,Troll_in_the_Knoll,2025-05-31
